movie,sentence,score
올빼미,대박기원 연기력짱입니다,10
올빼미,두 배우의 연기가 긴장감을 불러일으켜요. 그리고 예상외로 궁궐 모습 영상미가 좋습니다..!,10
블랙 팬서: 와칸다 포에버,영화에서 나오는 인물들의 이야기는 잔잔하게 진행되어가고  한 사람을 그리워하는 감정이 잘 드러납니다. 다만 신나는 액션을 기대하셨다면 조금 아쉬울 수 있습니다.,8
올빼미,ㅈ ㄹ   잼나네.오즘 쌀뻔..,10
올빼미,재밌어요. 류준열 유해진 연기가 좋았고 세자빈 연기도 인상적이었습니다.,10
데시벨,김래원이 주인공인데 정상훈이 멱살잡고 하드캐리한다 이종석은 어정쩡함 좋아하는 배우인데도 이번 영화는 정말 좀 심했더라... 스토리도 뭘 말하고싶은진 알겠는데이 배우들로 이 연출  이정도의 긴장감이라니ㅠ,4
올빼미,진짜 세자 신음소리 들리고 천냄새 킁킁거리다가 촛불꺼져서 류준열이 보게된 그 실체가 너무 무서웠어요...막 피질질 나면서 몸을 덜덜 떠는데 제 몸도 떨리더라구요...그 상태로 고개돌려서 류준열보는데 진짜 으...특히 보이나 안보이나 눈에 바늘 가져다대는거 개소름...또 뒤에나오는 반전도 소름이었구요..독침을 흘려? 할때 ㄹㅇ 소오름 근데 마지막 결말이 조오오금 아쉬웠어요ㅠㅠ 맘같아선 걍 왕 몰아내길 바랬는데...그래도 재밌게 봤습니다!! 불이 꺼지면 눈이 보이는 연출 대박이에용!,8
올빼미,나쁘진 않았는데 유해진은 계속 타짜 생각이 나서..,8
올빼미,현대와 묘한 콜라보를 뛰어난 상상력으로 만들어냈네요.,10
블랙 팬서: 와칸다 포에버,꿀잠잤네불면증 치료용 영화 ,1
데시벨,생각보다 진지하지 못한 분위기라 아쉬움,5
올빼미,내용도 모르고 봤는데 배우들 연기도 너무 좋았고 재밌었어요,9
스트레인지 월드,PC충에 게이 요소에 갈수록 선 넘어 절벽으로 가고 있는 디즈니.,1
올빼미,놀라운 연기력을 보여주신 유해진 배우님 류준열 배우님! 믿고 보는 배우님들덕에 재밌게 잘 봤습니다^^,10
블랙 팬서: 와칸다 포에버,어밴져스 이후로 마블 재미없다 해도 매번 봤었는데... 와 이거는... 염력 이후로 처음 댓글 쓰게만드네요.. 왜 다들 1점도 아깝다한건지 알꺼같습니다,1
블랙 팬서: 와칸다 포에버,아니 난 진짜 수작이라고 생각했는데 평점 왜이리 슬프누 슈리와 와칸다 이야기만보면 킹갓띵작이였는데,9
올빼미,영화 무지 재밌었어요 배우분들 연기도 좋고 스토리나 연출도 잘만든게 느껴졌어요 올해 본 영화 중에 최고,10
블랙 팬서: 와칸다 포에버,이건 돈아깝고 시간 아까움스토리도 엉성하고연기력도 엉망,1
데시벨,내 인생 최고의 한국영화,10
올빼미,의외로 유해진 왕연기가 괜찮음류준열 연기도 좋았고  몰입하면서 재밌게봤음,10
블랙 팬서: 와칸다 포에버,마블은끝남,2
올빼미,올해 한국영화중 최고의 작품,10
올빼미,재밌네요. 어의의 반전이 소름 돋았음. 인조도 반전 ㄷ ㄷ 유해진 연기대사 대단,8
올빼미,간만에 진짜 영화다운 영화본것 같아요ㅠㅠㅠ,10
올빼미,흡인력이 높네요.연기들 최고,10
올빼미,역사의 공백을 효과적으로 다룸,8
블랙 팬서: 와칸다 포에버,내가 보기엔 재밌음 ㅎㅎ,10
데시벨,이름이 무려 데시벨인데 대사가 잘 들리지 않는다. 대참사다.,4
올빼미,탄탄스로리에역사를 기반한 상상으로 재미있게 봤어요,10
올빼미,와 진짜 저 영화보고 리뷰남기는거 첨임 존잼 이건 띵작임다 간만에 시간가는줄 모르고 연출에 스토리까지 기승전결이 그냥 딱 맞아떨어지는 영화봐서 넘 짜릿해요,10
올빼미,사실 그저 학교에서 현장체험학습으로 고3 단체로 영화관 보내놓고 본거라 별 기대없이 봤는데...이거 명작이다. 진짜 지루함 1도 없고 무엇보다 서사가 완벽함. 많이 보던 배우라 신선함이 없을거라 생각했는데 극에 몰입감과 영상미는 긴장을 최고조로 만들었다. 극중에는 배우의 연기가 돋보인다면  극이 끝난 후에는 작가와 감독이 돋보이는 영화다. 인생이 일희일비하지 않던 고3 수험생이 드디어 감동을 느꼈다.,10
올빼미,예고편 안보고 네이버 평점보고 봤는데 너무 재밌네요,10
올빼미,예고편을 너무 기대했는데 오늘 보니까 그와 걸맞는 한 편의 좋은 영화였습니다. 올해 들어 거위 처음으로 만족한 영화 같아요!!,10
블랙 팬서: 와칸다 포에버,채드윅 보스만 배우님 그립지만 그래도 괜찮았어요,8
블랙 팬서: 와칸다 포에버,별점1점 주는 애들 타OTT 사람들입니다 블랙팬서 일단 보고 판단합시다 마블은 역시 굉장합니다 디즈니가 전세계OTT 구독자수 1위입니다 ,10
올빼미,최고다...와..코로나 끝나고 처음 왔는데 류준열 연기도 기가막히고.. 진짜 재밌다 최고다 최고. ㅠㅠ,10
올빼미,신선한 소재  박진감 넘치는 전개  완벽한 캐릭터 묘사  깔끔한 결말까지!,10
동감,잘 봤습니다 재밌어요,10
블랙 팬서: 와칸다 포에버,잘 봤습니다 재밌어요,10
데시벨,잘 봤습니다 재밌어요,10
올빼미,오랜만에 재미있는 영화를 봐서 즐거웠습니다.,10
올빼미,세자 죽을때 너무 맘아프용 ㅠㅠㅠㅠ,10
올빼미,잘 봤습니다 재밌어요,10
올빼미,올해 영화 중 최고로 잘 만들었어요   어두운 곳에서만 잘 보이는 올빼미영화제목부터 해서 몰입도 최고 ㅠㅠ 남자친구랑 너무 재밌게 봤네요!!,10
블랙 팬서: 와칸다 포에버,포카혼타스 실사판 디즈니 PC사상 역겹다 역겨워  밥 형~ 빨리 원상복구 해줘요~,1
올빼미,오랜만에 극장에서 보는 짜릿한 느낌! 재밌다고 얘기 듣고 기대 많이하고 봤는데 기대 이상인 영화인 듯! 두 주인공 케미폭발!! ,10
올빼미,인생 영화 등극! 배우들 보는 재미도 있었음,10
올빼미,평점과 너무달라 실망입니다,1
올빼미,영화는 류준열때문에 보게 된건데 진짜 스릴 넘치고 재밌습니다.. 꼭 보세요 꼭.. 무섭기도 무서운데 재미도 있고 쓸만 합니다.. 와우 진짜 대박,10
블랙 팬서: 와칸다 포에버,상영시간 길고 별 재미없다고 해서 기대 안했는데  재미있어 시간 가는 줄 몰랐음.  요약하자면  나르는 아쿠아맨과 와칸다의 싸움.   네이머 물속 나라가 약간 황당하지만  마블 영화가 원래 그런거니  영상미 괜찮고 볼만함,10
올빼미,반전에반전을 거듭하는 영화임,10
올빼미,시간이 너무 빨리갔어요~빠져들면서~ 스며들면서~감탄하면서 봤구요~모두 연기력 짱!연기력에 감동~힐링되는 시간이었습니다~^^,10
올빼미,올해 한국영화 최고였어요 저한테 ㅎㅎ,10
블랙 팬서: 와칸다 포에버,평점이 디게 낮은데 개인적으로는 전체적으로 맘에 들게 ost나 연출 부분에서 (특히 탈로칸 구경 씬  슈리와 킬몽거 독대 장면 ) 기대 이상으로 재밌고 충격이였음. 가족을 다 잃은 슈리의 성장부분이 도드라지는게 제일 좋았다...,10
올빼미,무섭고 재밋당 집중하고 긴장하면서 봐서 끝나고 잠왔어요,10
올빼미,전개가 빠른 편이라 지루하지 않았고 배우들 연기력에 몰입도가 높았음. 영화가 쉽고 소소하게 웃음 포인트도 있어 재밌게 봤는데 후반부에서 힘을 많이 뺀 듯한 느낌이 들었음,8
데시벨,영화 잘 안보는 사람인데.. 친구가 보자고 해서 갔다가 오열하고 나옴.. 서사가 돌았음..  김래원이랑 이종석 이민기 그리고 그 박병은… 눈물만 펑펑나옴 또 또 보러 가고싶음.. 그리고 차은우 얼굴 연기 잘생김..,10
올빼미,총보다 강력한 침…문서보다 강력한 뒷담화아…. 유해진님…..,2
올빼미,진짜 이거 다들 보셔야 해요…예상치도 못한 이야기 대박 재밋고 긴장되고 스릴넘칩니다,10
올빼미,근 일년간 봤던 영화중에 탑진짜 연기력에 몰두하고 빛을 통한 연출력이나 영상미에 몰입반전에 반전오랜만에 손을 꽉 쥐고 봤어요….다만 봉림대군이나 서인 남인 또는 다른 역사적 디테일이 조금 더 반영되었으면!! 하는 작은 아쉬움!!?,10
올빼미,두 배우의 연기가 엄청나요,9
올빼미,진짜 너무 재밌던데 !!,10
스트레인지 월드,영상미 빼면 별로 볼게 없다,7
스트레인지 월드,스트레인지 월드,7
올빼미,후반부 속도감 긴장감 전개 미쳤다,9
올빼미,조선판 다크나이트 ..!,10
블랙 팬서: 와칸다 포에버,추모하는 부분이 좋았아요 ..하지만 먼가 임팩트가 없어요,6
올빼미,사전 정보 없이 그냥 1위라 봤는데 의외로 유해진 배우님 평범하게 잘생겨서 놀람. 알고 있던 내용에 상상을 더하니 스릴 있고 재미있었다. 다만 주연 배우 중 한 명쯤은 잘생긴 배우를 써 눈을 즐겁게 했다면 어땠을까. ,9
데시벨,잠수함 도입 후 인터뷰 장면  살아남은 해군을 찾아가는 장면 등 폭탄이 터질 때까지 정보가 적어 몰입하기에 짧았다. 그러다 처음부터 예상했던 신파가 나올 땐 김이 샌다. 물론 그사이 뻔하지 않게 하기 위한 시간의 오르락내리락하는 컷의 배열이 있는데 그게 잦아 관객이 영화에서 소외되어 간다. 그럼에도 반전이 없는 영화. 허를 찔리지 않는 영화. 그리고 남은 사람들은 어떻게 하라는 거야 싶은 찝찝한 결론. 사실이 중요하다며 소리 높이는 사람들에 대해 때로는 덮고 묻는 게 필요하다며 소리를 낮추라는 게 메시지인가 싶음. 배우들 얼굴과 연기를 감상하러 간다면 추천  폭탄이 생각보다 자주 터지니 그런 스릴과 쾌감을 원해도 볼 만할 듯함. ,6
동감,오랜만에 몽글몽글한 힐링영화였습니다,10
데시벨,데시벨 재밌게 잘봤어요,10
올빼미,전개가 빠르고 연기들이 좋았습니다,9
올빼미,올빼미 재밌게 잘봤어요,10
올빼미,띵작……….재밌어요,10
블랙 팬서: 와칸다 포에버,와칸다의 신비로움이 퇴색된 느낌,4
올빼미,진짜 최고 후회 안합니다^^,10
올빼미,미친 연기력이 스크린을 압도한다,10
올빼미,손에 땀나면서 봤어요 계속,10
올빼미,시간가는줄모르고봄.지루할틈이없다.,10
올빼미,추천합니다 연기력이 좋고 스토리도 재밌네요,10
블랙 팬서: 와칸다 포에버,마블이다 액션과 볼거리로 만족하는 히어로 영화. 감동이나 다른거 원하면 다른장르를 보길. 마블팬이면 그냥 재밌다,10
올빼미,이 인조를 유해진이 아니면 누가 할 수 있었을까. 다소 작위적일수는 있으나 만족도는 높은 결말.,7
올빼미,시종일관 꽁트인줄 알았다,2
동감,원작이 훨씬 좋고 여자 주인공은 연기를 너무 못함,2
올빼미,아주 재밋게봤습니다.,10
올빼미,처음부터 끝까지 완벽했던 영화올해 최고의 한국영화라고 생각함,10
데시벨,김래원 연기 멋졌어요 비주얼 완전짱!이종석 악역인데 연기 잘했고..정상훈 웃긴케릭터인데 끝까지 감초연기 좋았습니다 이영화는 꼭 극장에서 봐야할듯 오디오 서라운드 폭파하고 이런 스테레오는 장난아님 꼭 극장에서 보길바랍니다,10
데시벨,보고나서 시벨 욕나옴 이라고 썼는데 10자 이하라고 등록이 안데... 시벨,4
올빼미,아무 정보없이 가서 본 영화. 영화를 보면서 딴생각 안하고 지금 몇시지? 시간확인 안했다는 것은 그만큼 영화에 빠졌다는 것이고 그만큼 몰입도가 상당했다는 얘기겠지,9
동감,재밌게 봤습니다.배우분들의 연기땜에 더 몰입이 되네요.,10
블랙 팬서: 와칸다 포에버,채드윅 헌정 장면빼고는 다 별로였음채드윅 안나왔으면 0.3점 정도,2
블랙 팬서: 와칸다 포에버,보지마세요 제발 ㄷㄷㄷ,1
올빼미,유해진 폼 미침요 다음 작품이 기대되요,10
블랙 팬서: 와칸다 포에버,2시간 반 동안 푹잤어요,10
올빼미,정말 훌륭한 영화. 마지막 장면에서는 소름이 끼쳤다. 아주 약간의 억지 전개는 있으나  충분히 잊게 되는 연기력과 연출이다.,10
올빼미,유해진 배우 연기 넘 잘합니다.,10
블랙 팬서: 와칸다 포에버,히어로물보단 그냥 장편영화같았음,10
올빼미,와 몰입감 최고에요 꼭 보세요  ,10
올빼미,극전개며 역사적 사실을 바탕으로 한 영화라 너무집중되고 눈을 뗄수가 없었어요류ㆍ유 배우님들 연기는 말모말모,10
올빼미,오랜만에 보는 한국 영화의 수작,10
올빼미,두 주연 배우의 연기와 적절한 긴장감이 시종일관 유지되어서 볼만했습니다.,7
동감,킬링타임용으로 보기 좋았습니다 :D,10
